1918,"10"" STONE - DAD'S GARDEN      ",20
1919,"10"" STONE - GROW DAMMIT       ",20
1920,"10"" STONE - SECRET GARDEN     ",20
1921,"10"" STONE - GRANDPA'S GARDEN  ",20
1922,"10"" STONE - WEED IT AND WEEP  ",20
1923,"10"" STONE - GRANDMA'S GARDEN  ",20
1924,HEART STONE - CAT LEAVE THEIR ,45
1925,HEART STONE - GROW OLD ALONG  ,45
1926,STEPPING STONE - AMISH WILKUM ,63
1927,STEPPING STONE - EAGLE        ,63
1928,STEPPING STONE - SUNFLOWER    ,63
1929,STEPPING STONE - SHIP         ,63
1930,STEPPING STONE - COMPASS      ,63
1931,"8"" STONE - FAITH              ",15
1932,"8"" STONE - HOPE               ",15
1933,"8"" STONE - LOVE               ",15
1934,"8"" STONE - IMAGINE            ",15
1935,"8"" STONE - PEACE              ",15
1936,"8"" STONE - WELCOME            ",15
1937,"8"" STONE - DREAM              ",15
1938,"8"" STONE - BELIEVE            ",15
1939,"8"" STONE - ALOHA              ",15
1940,"8"" STONE - JOY                ",15
1941,"10"" STONE - YOU ARE MY SUN    ",20
1942,"10"" STONE - PLANT A POTATO    ",20
1943,"8"" STONE - THINK GREEN        ",15
1944,"8"" STONE - WISH UPON A STAR   ",15
1945,"8"" STONE - WELCOME (SAILBOAT) ",15
1946,"8"" STONE -WEED TEST DO NOT CUT",15
1947,"5"" STONE - LOVE               ",13
1948,"5"" STONE - GRANDMA GIVES THE  ",13
1949,"10"" STONE-PROUD TO BE AMERICAN",20
1950,HEART STONE - THOSE WE HAVE   ,45
1951,"5"" STONE - SMILE              ",13
1952,"5"" STONE - BLUE STAR MOM      ",13
1953,"5"" STONE - CHOP CHOP          ",13
1954,"5"" STONE -WORLD CLASS GARDENER",13
1955,"10"" STONE - IF FRIENDS WERE   ",20
1956,"10"" STONE - BE STILL AND KNOW ",20
1957,"8"" STONE - GOD BLESS AMERICA  ",15
1958,"10"" STONE - MAY GOD BLESS AND ",20
1959,"10"" STONE - IN MEMORY OF A FAI",20
1960,"5"" STONE - GOD BLESS MY MARINE",13
